entity_id,relation,value
m/hot_tub_time_machine,features the theme,talent
m/demolition_man,features the theme,the future
m/hot_tub_time_machine,features the theme,the future
m/demolition_man,is,depressing
m/hot_tub_time_machine,is,super
m/terminator,is,super
m/hot_tub_time_machine,features the theme,the premise
m/terminator,features the theme,the premise
m/terminator,features the theme,emotion
m/hot_tub_time_machine,features the theme,his girlfriend
m/terminator,features the theme,the narrative
m/hot_tub_time_machine,features the theme,its title
m/spaceballs,features the theme,the laughs
m/terminator,is,efficient
m/dumb_and_dumber,is,jealous
m/hot_tub_time_machine,is,adolescent
m/spaceballs,is,misguided
m/hot_tub_time_machine,is,embarrassing
m/hot_tub_time_machine,is,satisfied
m/hot_tub_time_machine,features the theme,a lot of fun
m/hot_tub_time_machine,features the theme,a good movie
m/hot_tub_time_machine,is,aged
m/hot_tub_time_machine,features the theme,the floor
m/demolition_man,features the theme,special effects
m/terminator,is,limited
m/spaceballs,is,unfortunate
m/hot_tub_time_machine,is,amiable
m/hot_tub_time_machine,is,iconic
m/terminator,is,iconic
m/hot_tub_time_machine,is,juvenile
m/terminator,features the location,California
m/hot_tub_time_machine,features the theme,a party
m/hot_tub_time_machine,features the theme,the water
m/hot_tub_time_machine,features the theme,all time
m/hot_tub_time_machine,features the theme,the comedy
m/hot_tub_time_machine,is,nostalgic
m/terminator,features the theme,the pair
m/hot_tub_time_machine,is,surreal
m/dumb_and_dumber,features the theme,plenty
m/demolition_man,is,appropriate
m/dumb_and_dumber,is,broken
m/demolition_man,features the theme,the building
m/hot_tub_time_machine,is,consistent
m/demolition_man,features the theme,a car
m/terminator,features the theme,a car
m/spaceballs,features the theme,the air
m/hot_tub_time_machine,is,casual
m/hot_tub_time_machine,features the theme,the results
m/hot_tub_time_machine,is,wacky
m/hot_tub_time_machine,is,popcorn
m/hot_tub_time_machine,is,brisk
m/demolition_man,is,obnoxious
m/hot_tub_time_machine,is,obnoxious
m/hot_tub_time_machine,features the theme,drugs
m/demolition_man,features the theme,[ blu-ray
m/dumb_and_dumber,features the theme,[ blu-ray
m/spaceballs,features the theme,[ blu-ray
m/spaceballs,is,fourth
m/hot_tub_time_machine,features the theme,bed
m/terminator,features the theme,the series
m/hot_tub_time_machine,features the theme,credit
m/dumb_and_dumber,features the theme,his job
m/spaceballs,is,sublime
m/terminator,is,international
m/terminator,is,artificial
m/hot_tub_time_machine,is,giddy
m/spaceballs,is,giddy
m/terminator,is,wooden
m/hot_tub_time_machine,is,drunken
m/terminator,is,vicious
m/terminator,features the theme,police
m/hot_tub_time_machine,features the miscellaneous theme,80s
m/terminator,features the miscellaneous theme,80s
m/hot_tub_time_machine,features the miscellaneous theme,C
m/spaceballs,is,hysterical
m/hot_tub_time_machine,features the theme,the bar
m/hot_tub_time_machine,features the person,John
m/terminator,features the person,John
m/dumb_and_dumber,is,manic
m/hot_tub_time_machine,is,manic
m/spaceballs,is,easier
m/terminator,is,harrowing
m/spaceballs,features the theme,a world
m/spaceballs,features the theme,the ship
m/hot_tub_time_machine,is,fest
m/spaceballs,is,plain
m/dumb_and_dumber,features the theme,laughter
m/hot_tub_time_machine,is,crass
m/dumb_and_dumber,features the theme,her family
m/hot_tub_time_machine,is,slapstick
m/hot_tub_time_machine,features the theme,friendship
m/hot_tub_time_machine,is,nonsensical
m/hot_tub_time_machine,is,ultra
m/dumb_and_dumber,features the theme,places
m/terminator,is,keen
m/terminator,features the theme,his body
m/hot_tub_time_machine,features the theme,display
m/hot_tub_time_machine,is,depressed
m/hot_tub_time_machine,features the theme,company
m/terminator,is,flimsy
m/hot_tub_time_machine,features the theme,its moments
m/terminator,is,dubious
m/hot_tub_time_machine,is,idiotic
m/hot_tub_time_machine,is,estranged
m/demolition_man,is,healthy
m/demolition_man,is,underwhelming
m/spaceballs,is,exquisite
m/spaceballs,is,adequate
m/hot_tub_time_machine,is,magic
m/spaceballs,features the theme,space
m/hot_tub_time_machine,is,gay
m/hot_tub_time_machine,features the theme,redemption
m/demolition_man,is,noisy
m/hot_tub_time_machine,is,laden
m/hot_tub_time_machine,features the theme,a fight
m/hot_tub_time_machine,features the theme,the special effects
m/hot_tub_time_machine,is,illegal
m/hot_tub_time_machine,is,raucous
m/dumb_and_dumber,features the theme,the airport
m/hot_tub_time_machine,is,vulgar
m/dumb_and_dumber,is,precise
m/demolition_man,is,underground
m/dumb_and_dumber,is,literal
m/dumb_and_dumber,features the theme,the hotel
m/hot_tub_time_machine,is,outlandish
m/terminator,is,nuclear
m/hot_tub_time_machine,features the theme,insight
m/terminator,is,lean
m/hot_tub_time_machine,is,tasteless
m/hot_tub_time_machine,is,russian
m/demolition_man,is,sleek
m/dumb_and_dumber,is,rude
m/terminator,features the theme,the franchise
m/hot_tub_time_machine,features the theme,the eye
m/terminator,features the theme,the tension
m/hot_tub_time_machine,features the theme,the wall
m/spaceballs,features the theme,the crew
m/demolition_man,features the theme,society
m/hot_tub_time_machine,is,reliable
m/hot_tub_time_machine,is,raunchy
m/terminator,is,aesthetic
m/dumb_and_dumber,is,dopey
m/dumb_and_dumber,is,uncertain
m/terminator,is,paranoid
m/dumb_and_dumber,features the theme,the formula
m/hot_tub_time_machine,features the theme,john
m/terminator,features the theme,john
m/hot_tub_time_machine,is,foul
m/hot_tub_time_machine,features the theme,expectations
m/hot_tub_time_machine,is,titular
m/hot_tub_time_machine,is,inane
m/dumb_and_dumber,is,irreverent
m/hot_tub_time_machine,is,irreverent
m/dumb_and_dumber,features the theme,the journey
m/demolition_man,is,skeptical
m/terminator,features the theme,politics
m/hot_tub_time_machine,is,harder
m/hot_tub_time_machine,features the theme,dreams
m/dumb_and_dumber,is,esque
m/hot_tub_time_machine,is,deaf
m/terminator,features the theme,storytelling
m/hot_tub_time_machine,is,sole
m/hot_tub_time_machine,features the theme,the thing
m/hot_tub_time_machine,features the miscellaneous theme,Russian
m/terminator,features the theme,the sequel
m/terminator,is,fewer
m/spaceballs,features the theme,the planet
m/dumb_and_dumber,features the person,Mary
m/terminator,features the theme,guns
m/hot_tub_time_machine,features the theme,the present
